"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","PavedDrive","MoSold","YrSold","SaleType","SaleCondition","SalePrice","ExteriorFirst","BsmtUnfSf","EncodeLotShape","EncodeNeighborhood","EncodeHouseStyle","EncodeBsmtExposure","EncodeKitchenQual","EncodeBsmtQual","BathToRoom","EncodeBldgType","EncodedFoundation","EncodeSaleType","EncodedSaleCondition","cent1","EncodeNeighborhoodL","EncodeCondition1","EncodeCondition1L","EncodeLotConfig","EncodeHeatingQC","cent2","cent3","EncodeExteriorFirst"
14,20,"RL",4.51085950651685,9.27350294693382,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","Stone",5.72358510195238,"Gd","TA","PConc","Gd","Av","Unf",2.99573227355399,1494,7.30921236569276,"Ex","Y","SBrkr",7.30921236569276,0,7.30921236569276,0,0,2,0,3,"Gd",7,1,"Attchd",2006,"RFn",3,6.73340189183736,"Y",8,2007,"New","Partial",12.5407575715773,"VinylSd",7.30921236569276,1,0,1,0,0,1,0.666666666666667,0,1,1,1,0.0448347591694868,0,1,0,0,0,0.46044586004219,0.0219283537846674,0
15,20,"RL",4.38202663467388,9.2983512492989,"IR1","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","BrkFace",5.35658627467201,"TA","TA","CBlock","TA","No","BLQ",6.59714570188665,520,7.13329595489607,"TA","Y","SBrkr",7.13329595489607,0,7.13329595489607,1,0,1,1,2,"TA",5,1,"Attchd",1960,"RFn",1,5.8636311755981,"Y",5,2008,"WD","Normal",11.9640010843304,"MetalSd",6.25382881157547,1,0,1,0,1,1,1.5,0,0,0,1,-0.00563143346461235,0,1,0,0,1,0.00652531179232858,0.00856755338688013,0
16,45,"RM",3.93182563272433,8.71931737550637,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","None",0,"TA","TA","BrkTil","TA","No","Unf",4.70953020131233,832,6.72383244082121,"Ex","Y","FuseA",6.74993119378857,0,6.74993119378857,0,0,1,0,2,"TA",5,0,"Detchd",1991,"Unf",2,6.35610766069589,"Y",7,2007,"WD","Normal",11.7905572015685,"Wd Sdng",6.72383244082121,4,0,0,0,1,1,0.5,0,0,0,1,-0.0208077732062818,0,1,0,0,0,-0.213692528007371,0.122821878805061,0
17,20,"RL",4.44265125649032,9.3273230874618,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","BrkFace",5.19295685089021,"TA","TA","CBlock","TA","No","ALQ",6.35957386867238,426,6.91174730025167,"Ex","Y","SBrkr",6.91174730025167,0,6.91174730025167,1,0,1,0,2,"TA",5,1,"Attchd",1970,"Fin",2,6.17378610390194,"Y",3,2010,"WD","Normal",11.9117015849276,"Wd Sdng",6.05443934626937,1,0,1,0,1,1,1,0,0,0,1,-0.0102076396623615,0,1,0,0,0,0.0118278999262284,0.0413752912032662,0
18,90,"RL",4.27666611901606,9.28646773236373,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","None",5.25749537202778,"TA","TA","Slab","Gd","Av","Rec",6.77308037565554,0,6.95749737087695,"TA","Y","SBrkr",7.16703787691222,0,7.16703787691222,0,0,2,0,2,"TA",6,0,"CarPort",1967,"Unf",2,6.24610676548156,"Y",10,2006,"WD","Normal",11.4075649493124,"MetalSd",3.13549421592915,4,0,1,0,1,1,1,1,1,0,1,-0.0543195952786911,0,1,0,0,1,1.30453250248666,0.0616939470586599,0
19,20,"RL",4.18965474202643,9.52478608169718,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","None",4.38202663467388,"TA","TA","PConc","TA","No","GLQ",6.4707995037826,468,7.01571242048723,"Ex","Y","SBrkr",7.01571242048723,0,7.01571242048723,1,0,1,1,3,"Gd",6,0,"Detchd",2004,"Unf",2,6.35610766069589,"Y",6,2008,"WD","Normal",11.9766594812024,"VinylSd",6.14846829591765,4,0,1,0,0,1,1,0,1,0,1,-0.00452382373831901,0,0,1,0,0,0.0569427337220155,0.0129616253027783,0
20,20,"RL",4.24849524204936,8.93062646917358,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","Plywood","None",6.48157712927643,"TA","TA","CBlock","TA","No","LwQ",6.22257626807137,525,6.93634273583405,"TA","Y","SBrkr",7.19967834569117,0,7.19967834569117,0,0,1,0,3,"TA",6,0,"Attchd",1958,"Unf",1,5.68357976733868,"Y",5,2009,"COD","Abnorml",11.8422292121128,"BrkFace",6.26339826259162,4,0,1,0,1,1,0.333333333333333,0,0,0,0,0.169844639529532,0,1,0,0,1,0.205002738427578,0.0124220940876756,1
21,60,"RL",4.61512051684126,9.5620530240851,"IR1","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","BrkFace",5.94017125272043,"Gd","TA","PConc","Ex","Av","Unf",6.90775527898214,1158,7.05444965813294,"Ex","Y","SBrkr",7.05444965813294,7.10496544826984,7.77317368048254,0,0,3,1,4,"Gd",9,1,"BuiltIn",2005,"RFn",3,6.74875954749168,"Y",11,2006,"New","Partial",12.6925031124614,"VinylSd",7.05444965813294,1,0,0,0,0,0,1,0,1,1,1,0.05811249399685,0,1,0,0,0,1.26094887767768,0.336558958447475,0
22,45,"RM",4.04305126783455,8.91583507417628,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","None",4.02535169073515,"TA","TA","PConc","TA","No","Unf",4.75359019110636,637,6.45676965557216,"Ex","Y","FuseF",7.01031186730723,0,7.01031186730723,0,0,1,0,3,"Gd",6,1,"Attchd",1930,"Unf",1,5.63478960316925,"N",6,2007,"WD","Normal",11.8451027773086,"Wd Sdng",6.45676965557216,4,0,0,0,0,1,0.333333333333333,0,1,0,1,-0.0160350353290271,0,1,0,0,0,-0.164677267585406,0.0469331531613639,0
23,20,"RL",4.31748811353631,9.18420171436649,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","BrkFace",5.63835466933375,"Gd","TA","PConc","Gd","No","Unf",5.82894561761021,1777,7.48268182815465,"Ex","Y","SBrkr",7.49276030092238,0,7.49276030092238,0,0,2,0,3,"Gd",7,1,"Attchd",2002,"RFn",2,6.2803958389602,"Y",9,2008,"WD","Normal",12.3458345879053,"VinylSd",7.48268182815465,4,0,1,0,0,1,0.666666666666667,0,1,0,1,0.0277789980981904,0,1,0,0,0,0.602760165082957,0.0718582510534727,0
24,120,"RM",3.78418963391826,8.3485378253861,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CmentBd","None",5.01727983681492,"TA","TA","PConc","Gd","No","GLQ",6.73340189183736,200,6.94697599213542,"TA","Y","SBrkr",6.96602418710611,0,6.96602418710611,1,0,1,0,3,"TA",6,1,"Attchd",1976,"Unf",2,6.3491389913798,"Y",6,2007,"WD","Normal",11.7745202026587,"CemntBd",5.29831736654804,4,0,1,0,1,1,0.666666666666667,0,1,0,1,-0.0222110106108908,1,1,0,0,1,0.279576689118038,0.0762516855379279,0
25,20,"RL",4.0943445622221,9.01748351326684,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","None",5.54126354515843,"TA","Gd","CBlock","TA","Mn","Rec",5.23644196282995,204,6.96602418710611,"Ex","Y","SBrkr",6.96602418710611,0,6.96602418710611,1,0,1,0,3,"Gd",6,1,"Attchd",1968,"Unf",1,5.59842195899838,"Y",5,2010,"WD","Normal",11.9447078813958,"Plywood",5.31811999384422,1,0,1,0,0,1,0.666666666666667,0,0,0,1,-0.00731958872139669,0,1,0,0,0,0.0921338707312313,0.025128571915464,0
26,20,"RL",4.70048036579242,9.5631076910839,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","Stone",6.46146817635372,"Gd","TA","PConc","Gd","No","Unf",3.17805383034795,1566,7.35627987655075,"Ex","Y","SBrkr",7.37775890822787,0,7.37775890822787,0,0,2,0,3,"Gd",7,1,"Attchd",2007,"RFn",3,6.79122146272619,"Y",7,2009,"WD","Normal",12.4541039123522,"VinylSd",7.35627987655075,4,0,1,0,0,1,0.666666666666667,0,1,0,1,0.0372525639872879,0,1,0,0,0,0.8083215074702,0.0474032084018442,0
27,20,"RL",4.0943445622221,8.88183630500415,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","None",0,"TA","TA","CBlock","TA","Mn","BLQ",5.4553211153577,180,6.80239476332431,"TA","Y","SBrkr",6.80239476332431,0,6.80239476332431,0,1,1,0,3,"Gd",5,0,"Detchd",2005,"Unf",2,6.35610766069589,"Y",5,2010,"WD","Normal",11.8115474774603,"Wd Sdng",5.19295685089021,4,0,1,0,0,1,0.666666666666667,0,0,0,1,-0.0189711240657461,0,1,0,0,1,0.238795260065662,0.100605928561086,0
28,20,"RL",4.58496747867057,9.34818743866831,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","Stone",5.29831736654804,"Gd","TA","PConc","Ex","No","GLQ",7.10496544826984,486,7.44073370738926,"Ex","Y","SBrkr",7.44073370738926,0,7.44073370738926,1,0,2,0,3,"Gd",7,1,"Attchd",2008,"RFn",3,6.64898455002478,"Y",5,2010,"WD","Normal",12.6313403809345,"VinylSd",6.18620862390049,4,0,1,0,0,0,1,0,1,0,1,0.0527607549882441,0,1,0,0,0,1.14482463601476,0.105109646659006,0
29,20,"RL",3.85014760171006,9.7002079011507,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","None",6.09356977004514,"TA","TA","CBlock","TA","Gd","BLQ",7.15226885603254,207,7.30249642372733,"TA","Y","SBrkr",7.37775890822787,0,7.37775890822787,1,0,1,0,2,"TA",6,2,"Attchd",1957,"RFn",1,5.76519110278484,"Y",12,2006,"WD","Normal",12.2428866186529,"MetalSd",5.33271879326537,1,0,1,1,1,1,1,0,0,0,1,0.0187710507886016,0,1,0,0,1,-0.236276877386683,0.0238858198527575,0
30,30,"RM",4.0943445622221,8.75210719832936,"IR1","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",4.78749174278205,520,6.25382881157547,"Fa","N","SBrkr",6.25382881157547,0,6.25382881157547,0,0,1,0,1,"Fa",4,0,"Detchd",1920,"Unf",1,5.48063892334199,"Y",5,2008,"WD","Normal",11.1345890242503,"MetalSd",6.25382881157547,1,0,1,0,0,1,1,0,0,0,1,-0.0782049887216235,0,0,0,0,0,1.87816107834629,0.905022041089468,0
32,20,"RL",3.91202300542815,9.05298456119998,"IR1","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","None",4.21950770517611,"TA","TA","CBlock","TA","No","Unf",4.89034912822175,1228,7.11314210870709,"Gd","Y","SBrkr",7.11314210870709,0,7.11314210870709,0,0,1,1,3,"Gd",6,0,"Attchd",1966,"Unf",1,5.6021188208797,"Y",6,2008,"WD","Normal",11.9140478236443,"HdBoard",7.11314210870709,1,0,1,0,0,1,0.666666666666667,0,0,0,1,-0.0100023437746539,0,1,0,0,0,0.125902517671437,0.0175212079016107,0
33,20,"RL",4.44265125649032,9.31009520511317,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","None",3.73766961828337,"Gd","TA","PConc","Ex","Av","Unf",3.17805383034795,1234,7.11801620446533,"Ex","Y","SBrkr",7.11801620446533,0,7.11801620446533,0,0,2,0,3,"Gd",7,0,"Attchd",2007,"RFn",2,6.18208490671663,"Y",1,2008,"WD","Normal",12.1001564199386,"VinylSd",7.11801620446533,4,0,1,0,0,0,0.666666666666667,0,1,0,1,0.0062821584011034,0,1,0,0,0,0.136312865623942,-0.0106545800828543,0
34,20,"RL",4.24849524204936,9.26407069439715,"IR1","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","None",5.74300318780948,"TA","TA","CBlock","TA","No","Rec",6.92559519711047,380,7.24279792279376,"Gd","Y","SBrkr",7.43838353004431,0,7.43838353004431,0,1,1,1,4,"Gd",6,1,"Attchd",1959,"RFn",2,6.10255859461357,"Y",4,2010,"WD","Normal",12.0167264737993,"BrkFace",5.94017125272043,1,0,1,0,0,1,0.75,0,0,0,1,-0.00101796188609149,0,1,0,0,0,0.0128133932646119,-0.00200063570249979,1
35,120,"RL",4.0943445622221,8.89740886527095,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","BrkFace",5.50533153593236,"Ex","TA","PConc","Ex","No","GLQ",7.05012252026906,408,7.35308192051543,"Ex","Y","SBrkr",7.35308192051543,0,7.35308192051543,1,0,2,0,2,"Ex",6,1,"Attchd",2005,"Fin",2,6.32076829425058,"Y",8,2007,"WD","Normal",12.5335762121686,"MetalSd",6.01126717440416,4,0,1,0,0,0,1.5,0,1,0,1,0.0442063902212285,0,1,0,0,0,1.4644243871699,0.0437846192205443,0
36,60,"RL",4.68213122712422,9.50435236812283,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","Stone",4.88280192258637,"Gd","TA","PConc","Ex","Av","Unf",5.52942908751142,1117,7.0184017990692,"Ex","Y","SBrkr",7.03174125876313,7.18538701558042,7.8046592970561,0,0,3,1,4,"Gd",9,1,"BuiltIn",2004,"Fin",3,6.53813982376767,"Y",9,2006,"WD","Normal",12.6410965558799,"VinylSd",7.0184017990692,4,0,0,0,0,0,1,0,1,0,1,0.0536144202959634,0,1,0,0,0,1.16334781816797,0.329800707878963,0
37,20,"RL",4.71849887129509,9.2927495082169,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","None",0,"TA","TA","PConc","Gd","No","Unf",5.41164605185504,1097,7.00033446027523,"Ex","Y","SBrkr",7.00033446027523,0,7.00033446027523,0,0,1,1,3,"TA",6,0,"Attchd",1995,"Unf",2,6.51025834052315,"Y",6,2009,"WD","Normal",11.8844890214027,"VinylSd",7.00033446027523,4,0,1,0,1,1,0.666666666666667,0,1,0,1,-0.012588738970789,0,1,0,0,0,0.158458254029138,0.0382816061367721,0
38,20,"RL",4.30406509320417,9.05157907959124,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","BrkFace",6.47697236288968,"TA","TA","CBlock","TA","No","Rec",7.10085190894405,84,7.16780918431644,"Gd","Y","SBrkr",7.16780918431644,0,7.16780918431644,0,1,1,0,3,"TA",5,1,"Attchd",1954,"Fin",2,6.21060007702465,"Y",10,2009,"WD","Normal",11.9381932003746,"Wd Sdng",4.43081679884331,4,0,1,0,1,1,0.666666666666667,0,0,0,1,-0.00788962331075118,0,1,0,0,0,0.0993090680226299,0.00889116089382197,0
39,20,"RL",4.21950770517611,8.97739897818186,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","None",5.74300318780948,"TA","Gd","CBlock","TA","No","GLQ",6.59441345974978,326,6.96318998587024,"TA","Y","SBrkr",6.96318998587024,0,6.96318998587024,1,0,1,0,3,"Gd",5,0,"Detchd",1953,"Unf",1,5.50533153593236,"Y",1,2010,"WD","Abnorml",11.5991031612113,"VinylSd",5.78689738136671,4,0,1,0,0,1,0.666666666666667,0,0,0,0,0.391697160977195,0,1,0,0,1,0.472779069489978,0.130162262027796,0
40,90,"RL",4.17438726989564,8.70615929092886,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","Plywood","None",5.82894561761021,"TA","TA","PConc","Gd","Mn","Unf",6.92362862813843,0,6.85118492749374,"TA","N","FuseP",7.04925484125584,0,7.04925484125584,0,0,2,0,2,"Fa",6,0,"Attchd",1963,"Fin",0,5.73334127689775,"N",6,2008,"WD","AdjLand",11.3144745262464,"AsbShng",6.49526555593701,4,0,1,0,0,1,1,1,1,0,1,-0.062465007296967,1,1,0,0,1,1.50015168317954,0.15502880510752,0
41,20,"RL",4.43081679884331,9.06623902800193,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","BrkFace",4.61512051684126,"TA","TA","CBlock","TA","No","Rec",6.46614472423762,445,6.99209642741589,"Ex","Y","SBrkr",7.18841273649695,0,7.18841273649695,0,0,2,0,3,"TA",6,1,"Attchd",1965,"RFn",2,6.08677472691231,"Y",12,2006,"WD","Abnorml",11.982929094216,"Wd Sdng",6.09807428216624,4,0,1,0,1,1,0.666666666666667,0,0,0,0,0.0414559971104213,0,1,0,0,0,0.00460622190115792,0.00354381842492021,0
42,20,"RL",4.74493212836325,9.73536471514199,"Reg","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","None",4.71849887129509,"TA","Gd","CBlock","TA","Gd","BLQ",6.87419849545329,383,7.20785987143248,"Gd","Y","SBrkr",7.19142933003638,0,7.19142933003638,0,1,1,1,2,"TA",5,2,"Attchd",1959,"RFn",1,5.73009978297357,"P",7,2007,"WD","Normal",12.0435537160324,"VinylSd",5.94803498918065,4,0,1,1,1,1,1.5,0,0,0,1,0.00132942180930866,0,1,0,0,0,-0.0167338332505043,-0.0011393133311241,0
43,85,"RL",4.06044301054642,9.12478248361454,"IR1","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","None",5.48063892334199,"TA","TA","CBlock","Gd","Av","ALQ",6.61606518513282,0,6.73340189183736,"Gd","Y","SBrkr",6.78445706263764,0,6.78445706263764,1,0,1,0,2,"Gd",5,0,"Attchd",1983,"RFn",2,6.22257626807137,"Y",12,2007,"WD","Normal",11.8775685785581,"HdBoard",5.29831736654804,1,0,1,0,0,1,1,0,0,0,1,-0.0131942777196891,0,1,0,0,0,0.166080352884341,0.0726755430157794,0
